round_epochs,loss,MSE,val_loss,val_MSE,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
300,0.014366206713020802,0.0005971797509118915,0.008696620352566242,0.00014188264322001487,64,0,300,32,16,adam
300,0.22285643219947815,0.09020165354013443,0.14416326582431793,0.047342490404844284,64,0,300,32,32,AdaDelta
300,0.014579993672668934,0.0006305176066234708,0.008243872784078121,0.0001331582898274064,64,0,300,32,32,adam
300,0.2224975824356079,0.09129419177770615,0.14207087457180023,0.04774361848831177,64,0,300,32,64,AdaDelta
300,0.012792246416211128,0.0005217416910454631,0.009483817964792252,0.00017802567163016647,64,0,300,32,64,adam
300,0.21899178624153137,0.08904637396335602,0.13941408693790436,0.04647625982761383,64,0,300,32,128,AdaDelta
300,0.011395908892154694,0.0004264855233486742,0.009599516168236732,0.00017217604909092188,64,0,300,32,128,adam
300,0.22512194514274597,0.09110061824321747,0.14613638818264008,0.04795097932219505,64,0,300,64,16,AdaDelta
300,0.013168434612452984,0.0004900720086880028,0.008565633557736874,0.00014117207319941372,64,0,300,64,16,adam
300,0.2234787493944168,0.0929635688662529,0.14171484112739563,0.048404842615127563,64,0,300,64,32,AdaDelta
300,0.012078079394996166,0.0003937814908567816,0.010341023094952106,0.00024164804199244827,64,0,300,64,32,adam
300,0.22739724814891815,0.09436215460300446,0.14631332457065582,0.04948493465781212,64,0,300,64,64,AdaDelta
300,0.013032260350883007,0.00049308204324916,0.00934849213808775,0.00017508462769910693,64,0,300,64,64,adam
300,0.22509285807609558,0.09300054609775543,0.14446692168712616,0.04876425117254257,64,0,300,64,128,AdaDelta
300,0.013202095404267311,0.0005323429359123111,0.010135416872799397,0.00021838280372321606,64,0,300,64,128,adam
300,0.2171124666929245,0.08784769475460052,0.13777683675289154,0.045724328607320786,64,0,300,128,16,AdaDelta
300,0.01184493862092495,0.00040086908848024905,0.01086447574198246,0.0002661728940438479,64,0,300,128,16,adam
300,0.2277386635541916,0.09457240998744965,0.14640435576438904,0.04964963346719742,64,0,300,128,32,AdaDelta
300,0.011036735959351063,0.0003606633981689811,0.01008356362581253,0.00020380095520522445,64,0,300,128,32,adam
300,0.22168800234794617,0.09114031493663788,0.14102396368980408,0.04768151044845581,64,0,300,128,64,AdaDelta
300,0.012844176962971687,0.0005063923890702426,0.010334874503314495,0.00024381143157370389,64,0,300,128,64,adam
300,0.21877416968345642,0.08942510932683945,0.13879089057445526,0.04662037268280983,64,0,300,128,128,AdaDelta
300,0.012908527627587318,0.0004873086290899664,0.010471395216882229,0.00021875656966585666,64,0,300,128,128,adam
300,0.2248663455247879,0.09260781109333038,0.14412185549736023,0.04852873086929321,64,0,300,256,16,AdaDelta
