round_epochs,loss,mae,val_loss,val_mae,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
5,0.013697587884962559,0.10462865978479385,0.015575384721159935,0.11585240811109543,32,0.15,150,256,64,adam
150,0.08778391033411026,0.2129935473203659,0.0488489530980587,0.14190970361232758,32,0.15,150,256,128,AdaDelta
38,0.0018428775947540998,0.03050747700035572,0.001303420984186232,0.02686355635523796,32,0.15,150,256,128,adam
200,0.09109732508659363,0.21856002509593964,0.05110269412398338,0.14696715772151947,32,0.15,200,32,64,AdaDelta
44,0.0027941823936998844,0.03784484788775444,0.002107239793986082,0.033064842224121094,32,0.15,200,32,64,adam
200,0.09433091431856155,0.22119496762752533,0.052405063062906265,0.14731328189373016,32,0.15,200,32,128,AdaDelta
45,0.0023529422469437122,0.03356758505105972,0.001926087075844407,0.03188322111964226,32,0.15,200,32,128,adam
200,0.0894060730934143,0.21366219222545624,0.04977785050868988,0.14182326197624207,32,0.15,200,64,64,AdaDelta
8,0.015028608031570911,0.1084328442811966,0.015503528527915478,0.11980768293142319,32,0.15,200,64,64,adam
200,0.0920201912522316,0.21819902956485748,0.051189858466386795,0.14529629051685333,32,0.15,200,64,128,AdaDelta
7,0.016044463962316513,0.11116864532232285,0.016479913145303726,0.12364896386861801,32,0.15,200,64,128,adam
200,0.09389568865299225,0.22192734479904175,0.05237501114606857,0.14888323843479156,32,0.15,200,128,64,AdaDelta
6,0.013489605858922005,0.10420223325490952,0.015316237695515156,0.11790039390325546,32,0.15,200,128,64,adam
200,0.09219294041395187,0.21794337034225464,0.051203519105911255,0.14475581049919128,32,0.15,200,128,128,AdaDelta
5,0.015173309482634068,0.10909034311771393,0.01747419498860836,0.12434537708759308,32,0.15,200,128,128,adam
200,0.09072066843509674,0.21455419063568115,0.05008550360798836,0.1418069303035736,32,0.15,200,256,64,AdaDelta
48,0.0012608456891030073,0.024580294266343117,0.0011360180797055364,0.024232953786849976,32,0.15,200,256,64,adam
200,0.08984851837158203,0.21471701562404633,0.049951545894145966,0.14256168901920319,32,0.15,200,256,128,AdaDelta
58,0.0013875705190002918,0.02512003481388092,0.0008116929675452411,0.019818205386400223,32,0.15,200,256,128,adam
50,0.10245314985513687,0.2347995787858963,0.05736132338643074,0.15909698605537415,64,0,50,32,64,AdaDelta
50,0.001667484873905778,0.028165560215711594,0.0018800630932673812,0.032393038272857666,64,0,50,32,64,adam
50,0.09917723387479782,0.23133215308189392,0.05572045221924782,0.15727151930332184,64,0,50,32,128,AdaDelta
12,0.02158169075846672,0.12422487884759903,0.02018531784415245,0.13255318999290466,64,0,50,32,128,adam
50,0.0972939133644104,0.2288169413805008,0.05459471419453621,0.1553107053041458,64,0,50,64,64,AdaDelta
13,0.014505225233733654,0.10513098537921906,0.015420517884194851,0.11958842724561691,64,0,50,64,64,adam
50,0.0965024009346962,0.22789885103702545,0.05421817675232887,0.15476693212985992,64,0,50,64,128,AdaDelta
10,0.014274395070970058,0.1059904471039772,0.015507747419178486,0.12004806846380234,64,0,50,64,128,adam
50,0.09772126376628876,0.2284587025642395,0.0548422746360302,0.15469741821289062,64,0,50,128,64,AdaDelta
11,0.011537077836692333,0.09648368507623672,0.013136157765984535,0.10903605073690414,64,0,50,128,64,adam
50,0.09241737425327301,0.22148047387599945,0.0516950823366642,0.14948567748069763,64,0,50,128,128,AdaDelta
8,0.014207395724952221,0.10543905943632126,0.0167324747890234,0.12389834970235825,64,0,50,128,128,adam
50,0.09270031005144119,0.22221052646636963,0.0518704392015934,0.15014953911304474,64,0,50,256,64,AdaDelta
7,0.012614728882908821,0.0995776578783989,0.01542696263641119,0.11735448986291885,64,0,50,256,64,adam
50,0.09517770260572433,0.225356325507164,0.053315430879592896,0.15238016843795776,64,0,50,256,128,AdaDelta
7,0.015384187921881676,0.11200990527868271,0.017083343118429184,0.12144406884908676,64,0,50,256,128,adam
100,0.09595297276973724,0.226126566529274,0.053782541304826736,0.15275724232196808,64,0,100,32,64,AdaDelta
14,0.015347416512668133,0.10616403073072433,0.015411239117383957,0.11865852773189545,64,0,100,32,64,adam
100,0.0969797670841217,0.22821632027626038,0.054427072405815125,0.15483538806438446,64,0,100,32,128,AdaDelta
11,0.018202895298600197,0.11628635227680206,0.018474970012903214,0.12960894405841827,64,0,100,32,128,adam
100,0.09588828682899475,0.22525787353515625,0.05359603092074394,0.15166984498500824,64,0,100,64,64,AdaDelta
12,0.015193629078567028,0.10858239978551865,0.01612614281475544,0.122208371758461,64,0,100,64,64,adam
100,0.09633968025445938,0.22582589089870453,0.05377683788537979,0.15206027030944824,64,0,100,64,128,AdaDelta
10,0.01613525114953518,0.11202287673950195,0.017071029171347618,0.1258385181427002,64,0,100,64,128,adam
100,0.09232618659734726,0.22112856805324554,0.051595333963632584,0.14898380637168884,64,0,100,128,64,AdaDelta
9,0.013129113242030144,0.10024899989366531,0.014732039533555508,0.11670061200857162,64,0,100,128,64,adam
100,0.09967082738876343,0.2312120944261551,0.055932532995939255,0.15667884051799774,64,0,100,128,128,AdaDelta
9,0.014889467507600784,0.1101154312491417,0.01689787395298481,0.12367687374353409,64,0,100,128,128,adam
100,0.09669437259435654,0.2262890487909317,0.05404607951641083,0.15248622000217438,64,0,100,256,64,AdaDelta
8,0.012197273783385754,0.096857950091362,0.014631439931690693,0.11536708474159241,64,0,100,256,64,adam
100,0.09461840987205505,0.22476713359355927,0.053086817264556885,0.15220774710178375,64,0,100,256,128,AdaDelta
7,0.013983994722366333,0.10652457922697067,0.01606474258005619,0.11708205938339233,64,0,100,256,128,adam
150,0.09605394303798676,0.2260468453168869,0.053888123482465744,0.1527324765920639,64,0,150,32,64,AdaDelta
150,0.0008494293433614075,0.020337209105491638,0.0007718116394244134,0.01988007314503193,64,0,150,32,64,adam
150,0.0929945856332779,0.21986916661262512,0.05174096301198006,0.14671935141086578,64,0,150,32,128,AdaDelta
150,0.0009327603620477021,0.021317513659596443,0.0008874271879903972,0.021545642986893654,64,0,150,32,128,adam
150,0.09650667011737823,0.2281438708305359,0.054300252348184586,0.15519608557224274,64,0,150,64,64,AdaDelta
12,0.014017214998602867,0.10365031659603119,0.0147326635196805,0.1166389137506485,64,0,150,64,64,adam
150,0.09527140855789185,0.2246500849723816,0.05322488769888878,0.1513194590806961,64,0,150,64,128,AdaDelta
10,0.016074681654572487,0.11152742058038712,0.017151733860373497,0.12598508596420288,64,0,150,64,128,adam
150,0.09199730306863785,0.22188492119312286,0.05176180973649025,0.15046219527721405,64,0,150,128,64,AdaDelta
10,0.012534577399492264,0.09930689632892609,0.014293408021330833,0.1146540492773056,64,0,150,128,64,adam
150,0.09519519656896591,0.22434429824352264,0.053228653967380524,0.15103653073310852,64,0,150,128,128,AdaDelta
8,0.016016468405723572,0.11261148005723953,0.018532657995820045,0.13031987845897675,64,0,150,128,128,adam
150,0.09554536640644073,0.22603149712085724,0.05360934138298035,0.15306298434734344,64,0,150,256,64,AdaDelta
8,0.013341502286493778,0.10357094556093216,0.01581716351211071,0.11886787414550781,64,0,150,256,64,adam
150,0.09429111331701279,0.22221499681472778,0.05259305238723755,0.14884766936302185,64,0,150,256,128,AdaDelta
7,0.014542288146913052,0.10878993570804596,0.016503451392054558,0.11884838342666626,64,0,150,256,128,adam
200,0.09345880150794983,0.22236765921115875,0.05228760838508606,0.14976781606674194,64,0,200,32,64,AdaDelta
194,0.0007626833976246417,0.018863821402192116,0.0006505284109152853,0.016168083995580673,64,0,200,32,64,adam
200,0.0937444269657135,0.22165650129318237,0.052276793867349625,0.14854387938976288,64,0,200,32,128,AdaDelta
11,0.01967776194214821,0.11828111112117767,0.018874865025281906,0.12959587574005127,64,0,200,32,128,adam
200,0.10109635442495346,0.23135943710803986,0.05652749165892601,0.15564648807048798,64,0,200,64,64,AdaDelta
12,0.013018443249166012,0.09934279322624207,0.013753650709986687,0.11285564303398132,64,0,200,64,64,adam
200,0.09441479295492172,0.22186869382858276,0.052583806216716766,0.14827455580234528,64,0,200,64,128,AdaDelta
9,0.01444281730800867,0.10450077801942825,0.015514219179749489,0.11995059996843338,64,0,200,64,128,adam
200,0.09261903166770935,0.22131036221981049,0.05187565088272095,0.14903855323791504,64,0,200,128,64,AdaDelta
10,0.013321979902684689,0.10105055570602417,0.014595551416277885,0.11640296876430511,64,0,200,128,64,adam
200,0.09678812325000763,0.22747409343719482,0.05431939288973808,0.1540670245885849,64,0,200,128,128,AdaDelta
8,0.015614092350006104,0.10838925093412399,0.016991926357150078,0.1255684792995453,64,0,200,128,128,adam
200,0.0935976579785347,0.222789004445076,0.0523955412209034,0.15023384988307953,64,0,200,256,64,AdaDelta
